"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GMB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",20.1,
"GIN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",80,
"HND","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21.6,
"IDN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",18.3,
"IRN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",66,
"IRQ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21.2,
"KAZ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",16.5,
"KGZ","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",25.4,
"LAO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15.3,
"LSO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",62,
"MDG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",30,
"MLI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",34.6,
"MLT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15,
"MNG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",31.2,
"MAR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",30,
"MMR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",33,
"SEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",78,
"SLE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",45.3,
"SGP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",6.1,
"LKA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",16.6,
"TGO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22.1,
"TTO","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",30.2,
"URY","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",14.8,
"YEM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",67,
